Month,In/Out,Australia,"	Latitude",Longitude ,International,AllFlights
Mar-20,O,Brisbane,,,Dubai,  14
Mar-20,O,Brisbane,,,Dunedin,  10
Mar-20,O,Brisbane,,,Hong Kong,  13
Mar-20,O,Brisbane,,,Hong Kong,  12
Mar-20,O,Brisbane,,,Honiara,  15
Mar-20,O,Brisbane,,,Honiara,  3
Mar-20,O,Brisbane,,,Honiara,  6
Mar-20,O,Brisbane,,,Honolulu,  10
Mar-20,O,Brisbane,,,Kuala Lumpur,  12
Mar-20,O,Brisbane,,,Kuala Lumpur,  10
Mar-20,O,Brisbane,,,Los Angeles,  33
Mar-20,O,Brisbane,,,Los Angeles,  20
Mar-20,O,Brisbane,,,Manila,  15
Mar-20,O,Brisbane,,,Munda,  3
Mar-20,O,Brisbane,,,Nadi,  17
Mar-20,O,Brisbane,,,Nadi,  24
Mar-20,O,Brisbane,,,Nauru,  8
Mar-20,O,Brisbane,,,Noumea,  8
Mar-20,O,Brisbane,,,Noumea,  5
Mar-20,O,Brisbane,,,Port Moresby,  28
Mar-20,O,Brisbane,,,Port Moresby,  2
Mar-20,O,Brisbane,,,Port Moresby,  25
Mar-20,O,Brisbane,,,Port Moresby,  15
Mar-20,O,Brisbane,,,Port Vila,  8
Mar-20,O,Brisbane,,,Port Vila,  8
Mar-20,O,Brisbane,,,Queenstown,  8
Mar-20,O,Brisbane,,,Queenstown,  10
Mar-20,O,Brisbane,,,San Francisco,  9
Mar-20,O,Brisbane,,,Seoul,  5
Mar-20,O,Brisbane,,,Singapore,  14
Mar-20,O,Brisbane,,,Singapore,  25
Mar-20,O,Brisbane,,,Singapore,  77
Mar-20,O,Brisbane,,,Taipei,  24
Mar-20,O,Brisbane,,,Taipei,  9
Mar-20,O,Brisbane,,,Tokyo,  25
Mar-20,O,Brisbane,,,Vancouver,  27
Mar-20,O,Brisbane,,,Wellington,  13
Mar-20,O,Brisbane,,,Wellington,  29
Mar-20,O,Cairns,,,Denpasar,  11
Mar-20,O,Cairns,,,Osaka,  20
Mar-20,O,Cairns,,,Port Moresby,  35
Mar-20,O,Cairns,,,Port Moresby,  16
Mar-20,O,Cairns,,,Singapore,  17
Mar-20,O,Cairns,,,Tokyo,  19
Mar-20,O,Cairns,,,Tokyo,  1
Mar-20,O,Cairns,,,Tokyo,  1
Mar-20,O,Canberra,,,Doha,  24
Mar-20,O,Canberra,,,Singapore,  19
Mar-20,O,Darwin,,,Denpasar,  15
Mar-20,O,Darwin,,,London,  3
Mar-20,O,Darwin,,,Singapore,  14
Mar-20,O,Darwin,,,Singapore,  13
Mar-20,O,Gold Coast,,,Auckland,  16
Mar-20,O,Gold Coast,,,Auckland,  22
Mar-20,O,Gold Coast,,,Auckland,  21
